id,question,sql,evidence
64389491-7078-4875-b9cf-9693d5bdd2c9,List the names of schools with more than 30 difference in enrollements between K-12 and ages 5-17? Please also give the full street adress of the schools.,"SELECT T1.School, T1.Street FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)` > 30",Diffrence in enrollement = `Enrollment (K-12)` - `Enrollment (Ages 5-17)`
c23782b9-9ebc-4e43-a055-a40f1dc82d34,How many chartered schools located in the city of Hickman are owned by the Elementary School District?,SELECT COUNT(School) FROM schools WHERE DOC = 52 AND Charter = 1 AND City = 'Hickman',Elementary School District refers to DOC = 52; Chartered schools refer to Charter = 1 in the table schools
b27f8e02-e445-4955-b616-ff056b1ac34c,What is the educational level name for the schools with Breakfast Provision 2 in county code 37? Indicate the name of the school.,"SELECT T2.EILName, T2.School FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`NSLP Provision Status` = 'Breakfast Provision 2' AND T1.`County Code` = 37",
0d9f3634-f497-4c08-919f-fd8b7ad07a0f,What is the total number of schools with a mailing city in Hickman belonging to the charter number 00D4?,SELECT COUNT(*) FROM schools WHERE CharterNum = '00D4' AND MailCity = 'Hickman',
66f1767c-75cf-4e69-a2bd-21d213b4ce41,In which mailing street address can you find the school that has the lowest average score in reading? Also give the school's name.,"SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1",
aac4e9c1-e694-4741-ae4d-f9c7bef788da,What is the administrator's email address for the school with the highest number of test takers who received SAT scores of at least 1500?Provide the name of the school.,"SELECT T2.AdmEmail1, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",
b3dd24bc-9d5b-46ec-b043-bad9d950d9b5,How many test takers are there at the school/s whose mailing city address is in Fresno?,SELECT T1.NumTstTakr FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Fresno',
d230a8e5-d57e-43fe-9940-9af74c8b190a,How many active and closed District Community Day Schools are there in the county of Alpine?,SELECT COUNT(School) FROM schools WHERE (StatusType = 'Closed' OR StatusType = 'Active') AND SOC = 69 AND County = 'Alpine',
9e1eac10-a05d-4ee2-a6a5-ce8051b75bcb,"Between 1/1/2000 to 12/31/2005, how many directly funded schools opened in the county of Stanislaus?","SELECT COUNT(School) FROM schools WHERE strftime('%Y', OpenDate) BETWEEN '2000' AND '2005' AND County = 'Stanislaus' AND FundingType = 'Directly funded'",Directly funded schools refers to FundingType = 'Directly Funded'
35db5c1a-fd4d-4f85-90d8-1957c9dd6e47,Which county reported the most number of school closure in the 1980s with school wonership code belonging to Youth Authority Facilities (CEA)?,"SELECT County FROM schools WHERE strftime('%Y', ClosedDate) BETWEEN '1980' AND '1989' AND StatusType = 'Closed' AND SOC = 11 GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1",Youth Authority Facilities (CEA) refers to SOC = 11; 1980s = years between 1980 and 1989
91020992-be74-45f9-b60c-77a11f984f3a,"What is the average score in writing for the schools that were opened after 1991 or closed before 2000? List the school names along with the score. Also, list the communication number of the schools if there is any.","SELECT T2.School, T1.AvgScrWrite, T2.Phone FROM schools AS T2 LEFT JOIN satscores AS T1 ON T2.CDSCode = T1.cds WHERE strftime('%Y', T2.OpenDate) > '1991' OR strftime('%Y', T2.ClosedDate) < '2000'",Communication number refers to phone number.
14d7f4a2-4a3e-440b-9fd8-8a54bf189fab,"What is the complete address of the school with the lowest excellence rate? Indicate the Street, City, Zip and State.","SELECT T2.Street, T2.City, T2.State, T2.Zip FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY CAST(T1.NumGE1500 AS REAL) / T1.NumTstTakr ASC LIMIT 1","Execellence Rate = NumGE1500 / NumTstTakr; complete address has Street, City, State, Zip code"
a6d7c6ad-81ea-4fb0-869f-f73da9996614,"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,Excellence rate = NumGE1500 / NumTstTakr; Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`
51c8ce79-c843-43e3-863b-bc28281d571e,What is the phone number and extension number for the school with the zip code 95203-3704? Indicate the school's name.,"SELECT Phone, Ext, School FROM schools WHERE Zip = '95203-3704'",
248fa20d-7d8b-41f6-8735-63f5154d7301,What is the ratio in percentage of Santa Clara County schools that are locally funded compared to all other types of charter school funding?,SELECT CAST(SUM(CASE WHEN FundingType = 'Locally funded' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN FundingType != 'Locally funded' THEN 1 ELSE 0 END) FROM schools WHERE County = 'Santa Clara' AND Charter = 1,Ratio in percentage = (count(locally funded schools in Santa Clara) / count(all funding type schools in Santa Clara) * 100%
bbee412e-d357-4472-80a5-692f6c466452,What is the ratio of merged Unified School District schools in Orange County to merged Elementary School District schools?,SELECT CAST(SUM(CASE WHEN DOC = 54 THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN DOC = 52 THEN 1 ELSE 0 END) FROM schools WHERE StatusType = 'Merged' AND County = 'Orange',Elementary School District refers to DOC = 52; Unified School District refers to DOC = 54.
b23a3319-5936-4b6e-b4e5-0d2430060682,What is the city location of the high school level school with Lunch Provision 2 whose lowest grade is 9 and the highest grade is 12 in the county of Merced?,SELECT T2.City FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`NSLP Provision Status` = 'Lunch Provision 2' AND T2.County = 'Merced' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12 AND T2.EILCode = 'HS',High school can be represented as EILCode = 'HS'
e99cf896-46c7-4183-ae73-8b98c1c35c5a,What is the eligible free rate of the 10th and 11th schools with the highest enrolment for students in grades 1 through 12?,"SELECT CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)` FROM frpm ORDER BY `Enrollment (K-12)` DESC LIMIT 9, 2",K-12 refers to students in grades 1 through 12; Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`
6dbff154-1278-4246-b698-6b268614ed63,How many students from the ages of 5 to 17 are enrolled at the State Special School school in Fremont for the 2014-2015 academic year?,SELECT T1.`Enrollment (Ages 5-17)` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.EdOpsCode = 'SSS' AND T2.City = 'Fremont' AND T1.`Academic Year` BETWEEN 2014 AND 2015,State Special School means EdOpsCode = 'SSS'
c1df21f4-5a00-4634-83b8-4a14aed04bb4,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',
ed8a7eb1-6a1c-40f7-8679-284fb688d288,What is the eligible free or reduced price meal rate for the top 5 schools in grades 1-12 with the highest free or reduced price meal count of the schools with the ownership code 66?,SELECT CAST(T1.`FRPM Count (K-12)` AS REAL) / T1.`Enrollment (K-12)` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.SOC = 66 ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 5,grades 1-12 means K-12; Eligible free or reduced price meal rate for K-12 = `FRPM Count (K-12)` / `Enrollment (K-12)`
468dab6f-1fed-47f8-bb77-bf41696ea18e,"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?","SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62",Intermediate/Middle Schools refers to SOC = 62; Unified School refers to DOC = 54; years between 2009 and 2010 can refer to 'between 1/1/2009 to 12/31/2010'
afdb2346-a3fe-4d28-8a03-4c377c7b2981,What is the total number of schools whose total SAT scores are greater or equal to 1500 whose mailing city is Lakeport?,SELECT COUNT(T1.cds) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Lakeport' AND (T1.AvgScrRead + T1.AvgScrMath + T1.AvgScrWrite) >= 1500,Total SAT scores can be computed by AvgScrRead + AvgScrMath + AvgScrWrite
d0365860-5945-4094-83d2-bb5eee88cbc2,In Los Angeles how many schools have more than 500 free meals but less than 700 free or reduced price meals for K-12?,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)`< 700,
24c476cc-1579-4df0-b46c-fa8218b7ed93,What is the school type of the school with the highest latitude? Indicate the name of the school as well as the latitude coordinates.,"SELECT T1.`School Type`, T1.`School Name`, T2.Latitude FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.Latitude DESC LIMIT 1",
568d2cca-fffb-4cf5-babc-8888c942d477,What is the type of education offered in the school who scored the highest average in Math?,SELECT T2.EdOpsName FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrMath DESC LIMIT 1,
61d358a6-2c7d-46ef-8b16-9519237d6ce7,"What is the administrator's last name that oversees the school with Charter number 40? Indicate the district, the county where the school is situated, and the name of the school.","SELECT AdmLName1, District, County, School FROM schools WHERE CharterNum = '0040'",
2d614879-784f-45af-8e2f-709673de377f,What is the administrator's email address of the chartered school with the fewest students enrolled in grades 1 through 12?,SELECT T2.AdmEmail1 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter School (Y/N)` = 1 ORDER BY T1.`Enrollment (K-12)` ASC LIMIT 1,Charted school means `Charter School (Y/N)` = 1 in the table frpm; Students enrolled in grades 1 through 12 refers to `Enrollment (K-12)`
ea16f892-80a1-4bcf-a302-135d20001120,What is the monthly average number of schools that opened in Alameda County under the jurisdiction of the Elementary School District in 1980?,"SELECT CAST(COUNT(School) AS REAL) / 12 FROM schools WHERE DOC = 52 AND County = 'Alameda' AND strftime('%Y', OpenDate) = '1980'",Elementary School District refers to DOC = 52; Monthly average number of schools that opened in 1980 = count(schools that opened in 1980) / 12
5492d06d-16f2-463a-b539-533cc01171eb,"Name schools in Riverside which the average of average math score for SAT is grater than 400, what is the funding type of these schools?","SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400",Average of average math = sum(average math scores) / count(schools).
e2e77211-21ad-4819-8be4-622a153abaaf,"Rank schools by their average score in Writing where the score is greater than 499, showing their charter numbers.","SELECT CharterNum, AvgScrWrite, RANK() OVER (ORDER BY AvgScrWrite DESC) AS WritingScoreRank FROM schools AS T1  INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite > 499 AND CharterNum is not null",Valid charter number means the number is not null
bf8f8bed-2fe0-4f27-bd51-bdda21717ae3,"What are the webpages for the Los Angeles County school that has between 2,000 and 3,000 test takers?",SELECT T2.Website FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.NumTstTakr BETWEEN 2000 AND 3000 AND T2.County = 'Los Angeles',
19c1ec4d-7f21-4a02-9742-2b8a6600a4fe,What is the average writing score of the school who has the highest number of test takers whose total SAT sscores are greater or equal to 1500? Indicate the city to where the school is situated.,"SELECT T1.AvgScrWrite, T2.City FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",
459fdbce-5ae6-4eff-a518-af402f62679c,Please list the zip code of all the charter schools in Fresno County Office of Education.,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm
5311a411-989c-4278-80b7-f866a144fc80,Which cities have the top 5 lowest enrollment number for students in grades 1 through 12?,SELECT T2.City FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode GROUP BY T2.City ORDER BY SUM(T1.`Enrollment (K-12)`) ASC LIMIT 5,K-12 refers to students in grades 1 through 12.
4d1c263e-3596-4376-a30b-6a2f3ed7dc7c,Please provide the National Center for Educational Statistics school district identification number for all schools with a School Ownership Code that are part of the State Special Schools.,SELECT NCESDist FROM schools WHERE SOC = 31,State Special Schools means that SOC = 31.
9892302f-0879-4fa0-93bc-aa757ec18402,What is the Percent (%) Eligible Free (K-12) in the school administered by an administrator whose first name is Alusine. List the district code of the school.,"SELECT T1.`Free Meal Count (K-12)` * 100 / T1.`Enrollment (K-12)`, T1.`District Code` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.AdmFName1 = 'Alusine'",Percent (%) Eligible Free (K-12) = `Free Meal Count (K-12)` / `Enrollment (K-12)` * 100%
d39684f1-b0b2-4dbb-96aa-01b0c2855759,Please specify all of the schools and their related mailing zip codes that are under Avetik Atoian's administration.,"SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian'",
bf5c3ebb-5662-4b46-8e64-b72f01f2c677,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`
54ffbf03-9b30-4620-afb3-2fd00e3adb87,Which different county has the most number of closed schools? Please provide the name of each school as well as the closure date.,"SELECT DISTINCT County, School, ClosedDate FROM schools WHERE County = ( SELECT County FROM schools WHERE StatusType = 'Closed' GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1 ) AND StatusType = 'Closed' AND school IS NOT NULL",Closure date and closed date are synonyms; 'Closed' was mentioned in schools.StatusType.
dd462264-0261-481c-a994-caea31f9dc38,What is the website for the schools under the administrations of Mike Larson and Dante Alvarez?,SELECT Website FROM schools WHERE (AdmFName1 = 'Mike' AND AdmLName1 = 'Larson') OR (AdmFName1 = 'Dante' AND AdmLName1 = 'Alvarez'),
a03ccd1e-23db-413d-b517-9d1775a186e7,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',Charter schools refers to `Charter School (Y/N)` = 1 in the frpm
fd8d2037-36f3-4d3f-b0db-635a268cff9e,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,Exclusively virtual refers to Virtual = 'F'
99c044fe-e6b5-41e6-8024-1b2cf2804c90,What is the district code for the School that does not offer a magnet program in the city of Fresno?,SELECT T1.`District Code` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.City = 'Fresno' AND T2.Magnet = 0,"When magent is equal to 0 in the database, it means ths school doesn't offer a magnet program."
e8b40a34-4097-4868-91a2-db3ccc9683b2,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,Magnet schools or offer a magnet program means that Magnet = 1
3c1109b9-aa47-4f6a-a5d2-3f98c61c3531,Which state special schools have the highest number of enrollees from grades 1 through 12?,SELECT T2.School FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.DOC = 31 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1,State Special Schools refers to DOC = 31; Grades 1 through 12 means K-12
0f022434-1e5c-419b-afaf-c2c6bb01a0e6,What is the free or reduced price meal count for ages 5 to 17 in the Youth Authority School with a mailing street address of PO Box 1040?,SELECT T1.`FRPM Count (Ages 5-17)` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.MailStreet = 'PO Box 1040' AND T2.SOCType = 'Youth Authority Facilities',
0c5b108f-d5fc-492f-aa39-a5512c471b6b,What is the postal street address for the school with the 7th highest Math average? Indicate the school's name.,"SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrMath DESC LIMIT 6, 1",Postal street and mailing street are synonyms.
d33c1be9-b061-4fac-a377-9617a5ad6aa3,What is the average writing score of each of the schools managed by Ricci Ulrich? List the schools and the corresponding average writing scores.,"SELECT T2.School, T1.AvgScrWrite FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.AdmFName1 = 'Ricci' AND T2.AdmLName1 = 'Ulrich'","Usually, administrators manage the school stuff."
510558bf-83ce-4365-8d26-be5beee1f09e,"Of the schools with a mailing state address in California, what is the ratio of the schools located in the county of Colusa against the school located in the county of Humboldt?",SELECT CAST(SUM(CASE WHEN County = 'Colusa' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN County = 'Humboldt' THEN 1 ELSE 0 END) FROM schools WHERE MailState = 'CA',Ratio = count(schools in Colusa) / count(schools in Humboldt)
7c73a18d-6ee5-4209-b9d1-21c115ae54a2,"Of all the schools with a mailing state address in California, how many are active in San Joaquin city?",SELECT COUNT(CDSCode) FROM schools WHERE City = 'San Joaquin' AND MailState = 'CA' AND StatusType = 'Active',
537b36d7-ac2d-4436-b427-30b171886603,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`
bac8bc8c-4779-43d9-92a5-771c4301cce5,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,
ffec11dc-d3fe-40ba-a4e2-c5b1c2c50853,"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.","SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City",Kindergarten to 8th grade refers to K-8; 'Offers a magnet program' means Magnet = 1; Multiple Provision Types refers to `NSLP Provision Status` = 'Multiple Provision Types'
5e155619-b0f8-4cd0-9cac-454dbf9779da,Which schools served a grade span of Kindergarten to 9th grade in the county of Los Angeles and what is its Percent (%) Eligible FRPM (Ages 5-17)?,"SELECT T2.School, T1.`FRPM Count (Ages 5-17)` * 100 / T1.`Enrollment (Ages 5-17)` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.GSserved = 'K-9'",Percent (%) Eligible FRPM (Ages 5-17) can be acquired by `FRPM Count (Ages 5-17)` / `Enrollment (Ages 5-17)` * 100
4f184276-4a59-419f-9d17-c02207bc53af,What is the phone number of the school that has the highest average score in Math?,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 1,
3f317e96-9207-47c4-8a5c-1e9c81b52095,When did the first-through-twelfth-grade school with the largest enrollment open?,SELECT T2.OpenDate FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1,K-12 means First-through-twelfth-grade
3d4b43eb-c886-4e5d-83a6-053180b5b5d0,What is the most common type of grade span served in the city of Adelanto?,SELECT GSserved FROM schools WHERE City = 'Adelanto' GROUP BY GSserved ORDER BY COUNT(GSserved) DESC LIMIT 1,
